policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
217,31.3500000000,9637.2597471902,7369.5635904254,1591.4596705478,0.0000000000,676.2364862170
218,64.8900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
219,7.2200000000,3696.3023508429,3491.2607231229,2585.1507469695,0.0000000000,-2380.1091192495
220,77.4100000000,658603.0504161983,508023.5767137408,44933.7484504501,0.0000000000,105645.7252520075
221,51.5000000000,115249.9641461389,79523.0860491311,11686.8849012628,6578.5783159222,17461.4148798226
222,53.5500000000,663076.7052251766,441494.6836046105,94660.2716280997,52406.6173466324,74515.1326458341
223,50.8100000000,73314.1850855729,73718.5611560371,7289.0444067571,0.0000000000,-7693.4204772212
224,114.4200000000,1247671.4641948396,831607.9920203877,82090.2373453183,98059.0037214769,235914.2311076567
225,13.7500000000,42414.0560420025,31661.2591299732,16657.7992844984,0.0000000000,-5905.0023724691
226,363.3800000000,3463715.9375908421,3181225.8102603294,50678.1733928814,0.0000000000,231811.9539376313
227,161.5100000000,533916.6287564104,541311.9384393451,17034.1635444293,0.0000000000,-24429.4732273640
228,17.5500000000,4097.6772940988,5315.5371448704,1168.3967018481,0.0000000000,-2386.2565526197
229,7.6200000000,14213.3742954220,11394.4125364434,9775.5749759370,0.0000000000,-6956.6132169584
230,20.3000000000,82924.2645909461,68835.3794540635,20878.0523661509,0.0000000000,-6789.1672292684
231,131.7200000000,13486.5817506110,16987.1508525807,516.1668059496,0.0000000000,-4016.7359079193
232,188.8100000000,1411205.6593375611,940087.2146206668,65502.8005542444,186795.7399174459,218819.9042452040
233,290.7700000000,724146.8495012701,1037667.9168731533,12595.8771950923,0.0000000000,-326116.9445669755
234,48.8900000000,113117.4649210790,75336.7733583638,20323.2653549788,14916.2197214821,2541.2064862543
235,105.0200000000,1099437.0172511933,926064.2990700221,56033.5652605832,0.0000000000,117339.1529205881
236,159.2900000000,362762.7108279599,322552.7758556713,11884.6744349958,0.0000000000,28325.2605372928
237,11.4200000000,31941.0227752057,35614.8528177292,14180.7846738999,0.0000000000,-17854.6147164234
