policy_id,scr_life,life_mort,life_longev,life_lapse,life_exps,lapse_up,lapse_down,lapse_mass,nav_base
180,20176.931105237996,5158.7629049355455,0,18107.481786660937,2289.9129546379845,12044.043483494897,0,18107.481786660937,28138.446981973306
181,28398.306121340964,10701.68604238896,0,24928.907241573732,2172.0603221243946,16652.565183132916,0,24928.907241573732,41909.784999855154
182,20836.743769537985,5511.963543105259,0,18700.26730402201,2278.8277444830455,12424.892044912267,0,18700.26730402201,29145.742368078267
183,29533.981362997216,11427.261266581772,0,25863.78781338682,2156.2503469247604,17200.587965567276,0,25863.78781338682,43704.43833660585
184,21547.522551161204,5900.6950390416605,0,19334.41357423566,2266.96776468755,12827.057788466947,0,19334.41357423566,30234.35946790938
185,30737.327878766333,12203.29048011778,0,26847.337043104082,2139.8146110559464,17768.204422962852,0,26847.337043104082,45601.89062636165
186,22310.387995010457,6328.227977815346,0,20009.604938085045,2254.3097644727677,13251.200974032108,0,20009.604938085045,31410.66251342048
187,32024.508914547125,13032.166968481848,0,27895.824987131025,2122.770625809557,18355.475212164252,0,27895.824987131025,47605.23963398463
188,23131.66656003595,6796.009347812302,0,20731.523619759304,2240.854228868324,13697.634384957812,0,20731.523619759304,32676.76893269748
189,33408.45374469544,13925.949367548223,0,29017.58478288859,2105.0593798889895,18963.960953626694,0,29017.58478288859,49738.66370684479
190,24019.414066060184,7308.3413108155655,0,21506.744565465953,2226.576233155036,14167.134478922002,0,21506.744565465953,34041.06080276362
191,34890.000225776705,14896.535316618625,0,30207.245881253562,2086.6419202830875,19594.408124260837,0,30207.245881253562,52025.68380632438
192,24975.259319054192,7871.604169714556,0,22334.20005133064,2211.437833987118,14660.596627915365,0,22334.20005133064,35516.35170285002
193,36465.423103879424,15946.769847019692,0,31458.305724524544,2067.569729046547,20245.247488402965,0,31458.305724524544,54469.581078091054
194,26001.796850070652,8488.429791909119,0,23214.96964477151,2195.4473654722096,15178.027210984437,0,23214.96964477151,37106.829720741895
195,38132.68522547125,17074.163749218103,0,32768.715684218245,2047.9407462368254,20913.806390897313,0,32768.715684218245,57061.62041750754
196,27097.396539477253,9160.915883947455,0,24145.735676781915,2178.623716838716,15719.300169222668,0,24145.735676781915,38815.19265401043
